subject_nr,group,lang,trial_nr,block_index,position,img_left,img_right,x_left,y_left,x_right,y_right,first_fix_side,first_fix_rt_ms,response_time_ms,correct,arrangement,first_fix_direction,csvlog_fixated_clock,csvlog_physical_side,csvlog_physical_vert,reading_start_side,fix_matches_reading_onset,fpog_first_fix_direction,fpog_first_fix_rt_ms,fpog_first_fix_x,fpog_first_fix_y,fpog_median_ecc_px,fpog_exclusion_reason,fpog_excluded,fpog_fixated_clock,fpog_physical_side,fpog_physical_vert,bpog_first_fix_direction,bpog_first_fix_rt_ms,bpog_exclusion_reason,bpog_excluded,bpog_fixated_clock,bpog_physical_side,bpog_physical_vert
43,LTR,Deutsch,30,3,4,010.png,011.png,0,-308,0,308,none,-1.0,1864.0544000000227,undefined,"(12, 6)",none,,,,left,,left,5271.61000000001,933.1629714285714,338.51108571428574,305.64660430059365,none,False,12.0,,up,right,643.0100000000039,none,False,6.0,,down
43,LTR,Deutsch,31,3,2,012.png,013.png,-267,-154,267,154,012.png,30.87790000019595,1366.6139000001713,undefined,"(10, 4)",left,10.0,left,up,left,True,left,314.7599999999784,680.069052631579,346.706147368421,305.09707231703266,none,False,10.0,left,up,left,267.879999999991,none,False,10.0,left,up
43,LTR,Deutsch,32,3,6,014.png,015.png,-267,154,267,-154,014.png,2004.2668999999296,1568.7257000001846,undefined,"(8, 2)",left,8.0,left,down,left,True,left,2257.509999999911,707.4745756097561,594.903512195122,317.1596506371289,none,False,8.0,left,down,left,2210.389999999961,none,False,8.0,left,down
43,LTR,Deutsch,33,4,2,000.png,001.png,-267,-154,267,154,000.png,31.42809999990277,1154.2343000001274,undefined,"(10, 4)",left,10.0,left,up,left,True,left,288.14999999997326,695.6872119402985,371.37911641791044,267.5640465596697,none,False,10.0,left,up,left,254.76000000003296,none,False,10.0,left,up
43,LTR,Deutsch,34,4,6,002.png,003.png,-267,154,267,-154,002.png,770.3168000000296,1481.111600000062,undefined,"(8, 2)",left,8.0,left,down,left,True,left,1018.1299999999283,677.8362514285715,606.0882857142856,333.15189409008985,none,False,8.0,left,down,right,288.0799999999226,none,False,2.0,right,up
43,LTR,Deutsch,35,4,1,004.png,005.png,-308,0,308,0,004.png,85.88879999984056,1382.5377999999328,undefined,"(9, 3)",left,9.0,left,,left,True,left,408.5700000000543,691.8737142857142,455.0948357142857,340.42784587733127,none,False,9.0,left,,left,382.0100000000366,none,False,9.0,left,
43,LTR,Deutsch,36,4,4,006.png,007.png,0,-308,0,308,none,-1.0,1658.2989999998829,undefined,"(12, 6)",none,,,,left,,left,5271.239999999921,921.9373714285714,266.0429571428571,295.9317943654125,none,False,12.0,,up,right,3215.149999999994,none,False,6.0,,down
43,LTR,Deutsch,37,4,3,008.png,009.png,-154,-267,154,267,008.png,30.731299999868497,1975.461999999941,undefined,"(11, 5)",left,11.0,left,up,left,True,left,281.3700000000381,803.8378666666667,309.9387,256.57809713130547,none,False,11.0,left,up,left,254.58000000003267,none,False,11.0,left,up
43,LTR,Deutsch,38,4,2,010.png,011.png,-267,-154,267,154,010.png,31.424900000100024,611.5712000001222,undefined,"(10, 4)",left,10.0,left,up,left,True,left,301.3899999999694,735.97824,375.93395999999996,307.30568886087826,none,False,10.0,left,up,left,254.40000000003238,none,False,10.0,left,up
43,LTR,Deutsch,39,4,2,012.png,013.png,-267,-154,267,154,012.png,403.83170000021346,1036.9904000002423,undefined,"(10, 4)",left,10.0,left,up,left,True,left,870.7899999999427,653.9648470588235,347.2422352941176,320.8617411900374,none,False,10.0,left,up,right,468.8099999999622,none,False,4.0,right,down
43,LTR,Deutsch,40,4,3,014.png,015.png,-154,-267,154,267,014.png,31.332500000018623,1326.3660000000382,undefined,"(11, 5)",left,11.0,left,up,left,True,left,415.2800000000525,778.8343578947367,288.30401052631584,282.09722951171017,none,False,11.0,left,up,left,348.3200000000579,none,False,11.0,left,up
43,LTR,Deutsch,41,5,2,000.png,001.png,-267,-154,267,154,000.png,32.296399999875575,1303.207700000028,undefined,"(10, 4)",left,10.0,left,up,left,True,left,282.05000000002656,689.0047135135135,371.12842702702704,307.2252172436544,none,False,10.0,left,up,left,255.31000000000859,none,False,10.0,left,up
43,LTR,Deutsch,42,5,1,002.png,003.png,-308,0,308,0,002.png,31.47439999994822,757.7930000000633,undefined,"(9, 3)",left,9.0,left,,left,True,left,267.879999999991,622.5880615384615,561.4828615384615,353.05307215378525,none,False,9.0,left,,left,247.54999999993288,none,False,9.0,left,
43,LTR,Deutsch,43,5,6,004.png,005.png,-267,154,267,-154,none,-1.0,973.2684999998892,undefined,"(8, 2)",none,,,,left,,left,5271.489999999972,695.31456,709.2126000000001,307.44692816828695,none,False,8.0,left,down,left,5211.42999999995,none,False,8.0,left,down
43,LTR,Deutsch,44,5,6,006.png,007.png,-267,154,267,-154,006.png,4325.069000000018,1440.1794000000227,undefined,"(8, 2)",left,8.0,left,down,left,True,left,4568.419999999946,677.004243478261,681.0858782608695,316.2148371818633,none,False,8.0,left,down,left,4534.539999999993,none,False,8.0,left,down
43,LTR,Deutsch,45,5,4,008.png,009.png,0,-308,0,308,none,-1.0,991.1779999999562,undefined,"(12, 6)",none,,,,left,,left,5338.250000000016,947.5554461538461,241.6578923076923,296.6692471474007,none,False,12.0,,up,left,5318.480000000022,none,False,12.0,,up
43,LTR,Deutsch,46,5,3,010.png,011.png,-154,-267,154,267,010.png,30.902899999986403,1043.4444000000367,undefined,"(11, 5)",left,11.0,left,up,left,True,left,267.94999999992797,823.59024,268.34463,317.0336751617328,none,False,11.0,left,up,left,247.80999999995856,none,False,11.0,left,up
43,LTR,Deutsch,47,5,1,012.png,013.png,-308,0,308,0,012.png,30.865999999805354,2197.1231999999145,undefined,"(9, 3)",left,9.0,left,,left,True,left,374.8799999999619,662.8975542857144,516.6775542857143,336.5869392666408,none,False,9.0,left,,left,341.62000000003445,none,False,9.0,left,
43,LTR,Deutsch,48,5,3,014.png,015.png,-154,-267,154,267,014.png,32.18550000002142,2416.4688000000315,undefined,"(11, 5)",left,11.0,left,up,left,True,left,287.89999999992233,782.0309333333335,327.53,309.48010136498755,none,False,11.0,left,up,left,281.25,none,False,11.0,left,up
44,RTL,Arabic,1,0,2,000.png,001.png,-267,-154,267,154,000.png,31.195200000176555,4761.707800000295,undefined,"(10, 4)",left,10.0,left,up,right,False,left,361.76000000000386,669.0704000000001,426.86789999999996,345.56498121096354,none,False,10.0,left,up,left,328.28000000000657,none,False,10.0,left,up
44,RTL,Arabic,2,0,4,002.png,003.png,0,-308,0,308,none,-1.0,3673.680200000046,undefined,"(12, 6)",none,,,,right,,left,5392.51999999999,951.42784,222.9756,334.1133620853857,none,False,12.0,,up,right,1447.240000000022,none,False,6.0,,down
44,RTL,Arabic,3,0,1,004.png,005.png,-308,0,308,0,004.png,60.35179999981483,1902.056100000205,undefined,"(9, 3)",left,9.0,left,,right,False,left,314.81999999999744,614.0074105263158,533.7527684210527,346.04898478843484,none,False,9.0,left,,left,288.0000000000109,none,False,9.0,left,
44,RTL,Arabic,4,0,2,006.png,007.png,-267,-154,267,154,006.png,30.33499999990454,1556.297199999768,undefined,"(10, 4)",left,10.0,left,up,right,False,left,327.94000000001233,680.0788114285715,427.59792,327.97774848450285,none,False,10.0,left,up,left,307.5200000000109,none,False,10.0,left,up
44,RTL,Arabic,5,0,4,008.png,009.png,0,-308,0,308,none,-1.0,2696.8271999999124,undefined,"(12, 6)",none,,,,right,,left,5325.040000000001,939.5643428571428,239.6824714285714,303.52701339376756,none,False,12.0,,up,right,3998.5300000000166,none,False,6.0,,down
44,RTL,Arabic,6,0,3,010.png,011.png,-154,-267,154,267,010.png,32.230500000412576,1307.28900000031,undefined,"(11, 5)",left,11.0,left,up,right,False,left,334.67999999999165,799.5243428571428,314.3837571428572,339.2724244768682,none,False,11.0,left,up,left,301.44999999998845,none,False,11.0,left,up
44,RTL,Arabic,7,0,5,012.png,013.png,-154,267,154,-267,012.png,2194.749400000088,2796.6705999997503,undefined,"(7, 1)",left,7.0,left,down,right,False,right,2444.850000000031,1152.4299636363637,301.3651636363636,314.80703936830884,none,False,1.0,right,up,left,1018.0900000000292,none,False,7.0,left,down
44,RTL,Arabic,8,0,6,014.png,015.png,-267,154,267,-154,none,-1.0,2962.013299999875,undefined,"(8, 2)",none,,,,right,,right,5304.719999999975,1233.0462,404.6047875,366.8205300068392,none,False,2.0,right,up,right,5278.039999999975,none,False,2.0,right,up
44,RTL,Arabic,9,1,6,000.png,001.png,-267,154,267,-154,000.png,252.35089999978663,1641.4113000000652,undefined,"(8, 2)",left,8.0,left,down,right,False,left,643.0700000000229,674.4874666666667,601.9984000000001,341.2270819683324,none,False,8.0,left,down,left,602.9100000000085,none,False,8.0,left,down
44,RTL,Arabic,10,1,6,002.png,003.png,-267,154,267,-154,002.png,3913.554000000207,1327.1876999997476,undefined,"(8, 2)",left,8.0,left,down,right,False,right,4300.080000000036,1214.4648827586207,422.4427448275862,380.7233704221536,none,False,2.0,right,up,right,4239.869999999996,none,False,2.0,right,up
44,RTL,Arabic,11,1,2,004.png,005.png,-267,-154,267,154,004.png,31.28639999977895,1377.5514999997397,undefined,"(10, 4)",left,10.0,left,up,right,False,left,341.2500000000023,713.053935483871,423.40877419354837,326.42339889236183,none,False,10.0,left,up,left,307.7400000000239,none,False,10.0,left,up
44,RTL,Arabic,12,1,6,006.png,007.png,-267,154,267,-154,006.png,203.13690000012863,1475.267599999817,undefined,"(8, 2)",left,8.0,left,down,right,False,right,515.7200000000444,1301.4922239999999,387.92304,325.09994173153274,none,False,2.0,right,up,right,482.2700000000282,none,False,2.0,right,up
44,RTL,Arabic,13,1,5,008.png,009.png,-154,267,154,-267,008.png,1176.7709000000614,1803.7260999999417,undefined,"(7, 1)",left,7.0,left,down,right,False,right,1440.46000000003,1113.9648000000002,320.9655724137931,312.5460713160837,none,False,1.0,right,up,right,1406.9800000000328,none,False,1.0,right,up
44,RTL,Arabic,14,1,3,010.png,011.png,-154,-267,154,267,010.png,481.65059999976074,870.1661999998614,undefined,"(11, 5)",left,11.0,left,up,right,False,left,817.1900000000392,801.2642042553192,287.79541276595745,301.42561310657936,none,False,11.0,left,up,left,803.7700000000427,none,False,11.0,left,up
44,RTL,Arabic,15,1,4,012.png,013.png,0,-308,0,308,none,-1.0,1351.611399999936,undefined,"(12, 6)",none,,,,right,,left,5304.71,945.2286,253.0477125,301.5671915603627,none,False,12.0,,up,right,1801.809999999989,none,False,6.0,,down
44,RTL,Arabic,16,1,6,014.png,015.png,-267,154,267,-154,none,-1.0,1560.4861000001547,undefined,"(8, 2)",none,,,,right,,right,5365.659999999991,1189.914703448276,453.2476965517242,333.2396063699441,none,False,2.0,right,up,right,5345.23999999999,none,False,2.0,right,up
44,RTL,Arabic,17,2,4,000.png,001.png,0,-308,0,308,none,-1.0,602.7825999999768,undefined,"(12, 6)",none,,,,right,,left,5271.1100000000215,990.9115636363638,234.67221818181818,306.8885451046621,none,False,12.0,,up,right,957.7300000000264,none,False,6.0,,down
44,RTL,Arabic,18,2,6,002.png,003.png,-267,154,267,-154,002.png,31.17070000007516,1132.9324000002816,undefined,"(8, 2)",left,8.0,left,down,right,False,left,348.2699999999568,713.7512,574.4024999999999,341.6832590186654,none,False,8.0,left,down,left,321.22999999990043,none,False,8.0,left,down
44,RTL,Arabic,19,2,4,004.png,005.png,0,-308,0,308,none,-1.0,422.2211999999709,undefined,"(12, 6)",none,,,,right,,left,5291.380000000004,967.0023111111111,232.1048,308.20372572426294,none,False,12.0,,up,right,2056.3399999999774,none,False,6.0,,down
44,RTL,Arabic,20,2,2,006.png,007.png,-267,-154,267,154,006.png,31.69269999989774,537.3846000002231,undefined,"(10, 4)",left,10.0,left,up,right,False,right,401.92000000001826,1310.0918237288136,752.2871796610169,359.1580848723631,none,False,4.0,right,down,right,375.0600000000759,none,False,4.0,right,down
44,RTL,Arabic,21,2,3,008.png,009.png,-154,-267,154,267,008.png,31.355399999883957,1449.940999999817,undefined,"(11, 5)",left,11.0,left,up,right,False,left,281.4300000000003,758.2626461538462,333.43130769230766,306.4065510390413,none,False,11.0,left,up,left,241.1499999999478,none,False,11.0,left,up
44,RTL,Arabic,22,2,1,010.png,011.png,-308,0,308,0,010.png,1391.2196000001277,1415.290199999581,undefined,"(9, 3)",left,9.0,left,,right,False,left,1634.5800000000281,639.8573268292683,508.1671317073171,321.7214053939234,none,False,9.0,left,,left,1607.7300000000605,none,False,9.0,left,
44,RTL,Arabic,23,2,5,012.png,013.png,-154,267,154,-267,none,-1.0,1160.0136000001803,undefined,"(7, 1)",none,,,,right,,right,5304.8,1127.2486399999998,281.21184,339.26487236423,none,False,1.0,right,up,left,3589.900000000057,none,False,7.0,left,down
44,RTL,Arabic,24,2,4,014.png,015.png,0,-308,0,308,none,-1.0,1304.142800000147,undefined,"(12, 6)",none,,,,right,,left,5345.090000000027,963.9874909090909,314.4969818181818,330.3654396669764,none,False,12.0,,up,right,26.79000000000542,first_fix_anticipatory,True,,,
